Year,Make,Model,transmission,mileage,price,Year,Make,Model
2001,honda,accord  ,            automatic,194000,3000,2001,honda,accord
2001,honda,accord  ,            automatic,194000,3000,2001,honda,accord
1975,ford,f 250 ,            manual,NA,5500,1975,ford,f 250
1978,Ford,Econoline  ,            manual,NA,2000,1978,Ford,Econoline
2007,nissan,pathfinder  ,            automatic,NA,7000,2007,nissan,pathfinder
1963,VW,beetle bug ,            manual,NA,4500,1963,VW,beetle bug
2014,Toyota,Tacoma  ,NA,NA,NA,2014,Toyota,Tacoma
2016,Chevrolet,Equinox  ,NA,18104,NA,2016,Chevrolet,Equinox
2010,Dodge,Ram 2500 ,            automatic,NA,NA,2010,Dodge,Ram 2500
1966,Plymouth,fury  ,            automatic,70000,6500,1966,Plymouth,fury
2005,toyota,  ,            automatic,NA,NA,2005,toyota,
1997,toyota,corolla dx ,            automatic,114000,3175,1997,toyota,corolla dx
1998,Saturn,Sl2  ,            automatic,NA,1200,1998,Saturn,Sl2
2000,BMW,  ,            automatic,NA,3500,2000,BMW,
2007,Cadillac,Escalade  ,            automatic,124000,18999,2007,Cadillac,Escalade
2001,buick,regal custom ,            automatic,NA,2500,2001,buick,regal custom
2008,Mazda,3,            automatic,125000,6500,2008,Mazda,3
1988,ford,f150 4wd ,            automatic,NA,1500,1988,ford,f150 4wd
1950,Oldsmobile,88,            automatic,NA,5500,1950,Oldsmobile,88
2012,Kenworth,T660  ,            other,NA,NA,2012,Kenworth,T660
1988,jeep,cherokee  ,            manual,225302,1000,1988,jeep,cherokee
2001,chevy,cavalier  ,            automatic,200000,800,2001,chevy,cavalier
1998,Pontiac,Grand Am ,            automatic,15000,4800,1998,Pontiac,Grand Am
1989,honda,accord Lxi ,            manual,NA,1250,1989,honda,accord Lxi
2013,Kia,  ,            other,NA,NA,2013,Kia,
2000,ford,expedition  ,            automatic,NA,3500,2000,ford,expedition
1998,isuzu,trooper  ,            automatic,NA,3500,1998,isuzu,trooper
2001,Pontiac,Sunfire GT ,            automatic,244000,700,2001,Pontiac,Sunfire GT
1986,Subaru,GL  ,            manual,199000,1500,1986,Subaru,GL
2003,Volvo,s70  ,            manual,200000,1800,2003,Volvo,s70
2002,Ford,explorer  ,            automatic,220000,700,2002,Ford,explorer
1956,GMC,  ,            manual,NA,1,1956,GMC,
1999,Honda,Civic  ,            automatic,178548,2995,1999,Honda,Civic
2010,Dodge,Ram 1500 ,            automatic,128445,14595,2010,Dodge,Ram 1500
2007,Chevrolet,Cobalt  ,            automatic,87982,5495,2007,Chevrolet,Cobalt
2000,Dodge,Dakota  ,            automatic,181899,3995,2000,Dodge,Dakota
2011,Mazda,CX-7  ,            automatic,79497,9688,2011,Mazda,CX-7
2011,Chevrolet,Aveo  ,            manual,68332,5995,2011,Chevrolet,Aveo
1997,BMW,528i  ,            automatic,173000,2450,1997,BMW,528i
2014,nissan,versa 1.6 sv,            automatic,57100,9100,2014,nissan,versa 1.6 sv
1992,Acura,integra  ,            other,NA,200,1992,Acura,integra
1990,lincon,town car ,            automatic,NA,800,1990,lincon,town car
1961,Jeep,Willys  ,            manual,5000,5500,1961,Jeep,Willys
2012,kenworth,t 700 ,            other,NA,NA,2012,kenworth,t 700
2007,vw,passat 2.0t ,            automatic,99250,4800,2007,vw,passat 2.0t
2014,Honda,CR-V  ,            automatic,35738,17887,2014,Honda,CR-V
1987,jaguar,xj6  ,            automatic,100760,8500,1987,jaguar,xj6
2014,Kia,Soul  ,NA,NA,NA,2014,Kia,Soul
2003,CHEV,C7500  ,NA,NA,NA,2003,CHEV,C7500
1991,dodge,grand caravan ,            automatic,NA,1900,1991,dodge,grand caravan
2017,Subaru,WRX  ,            automatic,10500,NA,2017,Subaru,WRX
2014,Dodge,Charger  ,NA,NA,NA,2014,Dodge,Charger
1961,Studebaker,Champ  ,            manual,NA,12500,1961,Studebaker,Champ
2012,FIAT,500,NA,NA,NA,2012,FIAT,500
1969,Dodge,D100  ,            manual,NA,2000,1969,Dodge,D100
2002,Ford,V10  ,            automatic,120000,5500,2002,Ford,V10
1997,cadillac,deville  ,            automatic,134337,2800,1997,cadillac,deville
2004,Ford,  ,            automatic,NA,15,2004,Ford,
2000,si,  ,            manual,180,3500,2000,si,
1953,GMC,Half Ton Pickup,            manual,NA,8500,1953,GMC,Half Ton Pickup Truck
1992,Ford,  ,            automatic,NA,5000,1992,Ford,
1999,ford,f-250  ,            manual,NA,NA,1999,ford,f-250
2003,VW,jetta  ,            manual,NA,2000,2003,VW,jetta
2016,Nissan,Versa Note ,            automatic,41010,10991,2016,Nissan,Versa Note
2016,Jeep,Patriot  ,            automatic,13660,15488,2016,Jeep,Patriot
2016,Mazda,CX-9  ,            automatic,5720,34898,2016,Mazda,CX-9
2011,BMW,3 Series ,            automatic,79602,22991,2011,BMW,3 Series
2014,INFINITI,Q50  ,            automatic,41982,24991,2014,INFINITI,Q50
1997,ford,expedition  ,            automatic,NA,NA,1997,ford,expedition
2007,Toyota,Tundra  ,            automatic,NA,12000,2007,Toyota,Tundra
1963,lincoln,continental  ,            automatic,NA,7000,1963,lincoln,continental
1999,ford,f-350sd  ,            manual,275000,14000,1999,ford,f-350sd
2012,toyota,rav4  ,            automatic,40000,15898,2012,toyota,rav4
1989,silverado,  ,            automatic,198500,6500,1989,silverado,
1978,Chevy,El Camino ,            automatic,170000,3500,1978,Chevy,El Camino
2003,GMC,Sierra 3500 ,            automatic,NA,NA,2003,GMC,Sierra 3500
1999,dodge,ram 1500 4x4,            automatic,154000,3200,1999,dodge,ram 1500 4x4
2011,Ford,Super Duty F-350,            automatic,NA,NA,2011,Ford,Super Duty F-350 DRW
2015,Mitsubishi,Mirage  ,NA,23723,NA,2015,Mitsubishi,Mirage
1997,chrysler,sebring convertible ,            automatic,NA,NA,1997,chrysler,sebring convertible
1967,Rambler,American  ,            manual,48000,4500,1967,Rambler,American
2000,Toyota,Solara v6 ,            manual,114000,500,2000,Toyota,Solara v6
2002,MITSUBISHI,MONTERO  ,            automatic,155000,2000,2002,MITSUBISHI,MONTERO
2016,Silverado,  ,            automatic,2700,26995,2016,Silverado,
2015,nissan,altima 2.5 ,            automatic,48533,NA,2015,nissan,altima 2.5
2014,nissan,maxima  ,            automatic,50795,NA,2014,nissan,maxima
1984,nissan,300 zx turbo,            automatic,120000,4600,1984,nissan,300 zx turbo
2012,peterbilt,587,            other,NA,NA,2012,peterbilt,587
2015,Fiat,500 Abarth ,            manual,24119,12995,2015,Fiat,500 Abarth
2011,bmw,135i  ,            automatic,78852,NA,2011,bmw,135i
2011,honda,accord  ,            automatic,76950,NA,2011,honda,accord
2015,honda,civic lx ,            automatic,31847,NA,2015,honda,civic lx
2015,toyota,camry le ,            automatic,37919,NA,2015,toyota,camry le
2012,ford,mustang v6 ,            manual,58112,NA,2012,ford,mustang v6
1966,Olds,starfire  ,            automatic,NA,NA,1966,Olds,starfire
2015,dodge,journey  ,            automatic,74500,NA,2015,dodge,journey
2016,Mazda,CX-5  ,            automatic,11520,29491,2016,Mazda,CX-5
2016,Mazda,Mazda6  ,            automatic,38888,NA,2016,Mazda,Mazda6
2015,Mazda,CX-9  ,            automatic,38866,22991,2015,Mazda,CX-9
2014,Mazda,Mazda3  ,            automatic,9325,15991,2014,Mazda,Mazda3
2014,Mazda,Mazda3  ,            automatic,27712,21991,2014,Mazda,Mazda3
2016,Mazda,Mazda3  ,            automatic,5737,18991,2016,Mazda,Mazda3
2014,Nissan,Altima  ,            automatic,32390,14491,2014,Nissan,Altima
2016,Ford,F-150  ,            automatic,28437,20991,2016,Ford,F-150
2011,bmw,528i  ,            automatic,79338,NA,2011,bmw,528i
2014,volkswagen,jetta  ,            automatic,59700,NA,2014,volkswagen,jetta
2008,Gmc,seirra  ,            automatic,NA,28000,2008,Gmc,seirra
2000,ford,expedition eddie bauer,            automatic,250000,3000,2000,ford,expedition eddie bauer
2014,nissan,370z  ,            automatic,26100,NA,2014,nissan,370z
2006,nissan,titan se ,            automatic,130000,12600,2006,nissan,titan se
1974,chevrolet,corvette stingray ,            automatic,NA,16,1974,chevrolet,corvette stingray
1979,mg,mgb  ,            manual,77500,7500,1979,mg,mgb
2015,mitsubishi,mirage  ,            automatic,21569,NA,2015,mitsubishi,mirage
2014,honda,civic lx ,            manual,51800,NA,2014,honda,civic lx
2011,chevrolet,impala  ,            automatic,95000,NA,2011,chevrolet,impala
2012,Kenworth,T700  ,            other,NA,NA,2012,Kenworth,T700
1999,Ford,F-350  ,            manual,192340,10250,1999,Ford,F-350
2017,Toyota,Tacoma  ,NA,7483,NA,2017,Toyota,Tacoma
2014,GMC,Sierra 1500 ,NA,NA,NA,2014,GMC,Sierra 1500
2016,Hyundai,Sonata  ,NA,4455,NA,2016,Hyundai,Sonata
2014,Ford,F-150  ,NA,NA,NA,2014,Ford,F-150
2015,Toyota,Camry Hybrid ,NA,NA,NA,2015,Toyota,Camry Hybrid
2015,Dodge,Grand Caravan ,NA,NA,NA,2015,Dodge,Grand Caravan
2013,Jeep,Wrangler  ,NA,NA,NA,2013,Jeep,Wrangler
2016,Toyota,Avalon Hybrid ,            automatic,23890,NA,2016,Toyota,Avalon Hybrid
2013,Toyota,Tacoma  ,            automatic,NA,NA,2013,Toyota,Tacoma
2016,Subaru,Forester  ,NA,13192,NA,2016,Subaru,Forester
2014,Toyota,Corolla  ,NA,27548,NA,2014,Toyota,Corolla
2016,Jeep,Grand Cherokee ,            automatic,25816,NA,2016,Jeep,Grand Cherokee
2014,GMC,Yukon  ,NA,NA,NA,2014,GMC,Yukon
2015,Ford,Super Duty F-250,NA,NA,NA,2015,Ford,Super Duty F-250 SRW
2013,Toyota,Tacoma  ,NA,NA,NA,2013,Toyota,Tacoma
2012,Hyundai,Tucson  ,            automatic,109474,9000,2012,Hyundai,Tucson
2003,volvo,xc70  ,            automatic,NA,3250,2003,volvo,xc70
1991,jeep,grand cherokee laredo,            automatic,290000,1000,1991,jeep,grand cherokee laredo 4x4
1971,lincoln,continental mark iii,            automatic,34000,6000,1971,lincoln,continental mark iii
2007,dodge,grand caravan ,            automatic,77600,17500,2007,dodge,grand caravan
2014,toyota,prius  ,            automatic,53000,15000,2014,toyota,prius
2006,Hummer,H3  ,            automatic,NA,14500,2006,Hummer,H3
1978,Dodge,Magnum  ,            automatic,95000,NA,1978,Dodge,Magnum
2003,infiniti,g35 coupe ,            automatic,150000,9000,2003,infiniti,g35 coupe
2014,Honda,Accord Sedan ,NA,NA,NA,2014,Honda,Accord Sedan
2014,Ford,Fiesta  ,NA,NA,NA,2014,Ford,Fiesta
2001,Chevrolet,Blazer  ,            automatic,120000,4000,2001,Chevrolet,Blazer
2015,enclosed,trailer  ,            other,NA,1850,2015,enclosed,trailer
1999,ford,expedition  ,            automatic,213000,3000,1999,ford,expedition
1973,Toyota,Land Cruiser ,            manual,NA,15500,1973,Toyota,Land Cruiser
1987,Mazda,  ,            automatic,NA,NA,1987,Mazda,
1962,Chevrolet,Corvair Monza ,            manual,NA,5500,1962,Chevrolet,Corvair Monza
1997,ford,ranger  ,            manual,168000,4000,1997,ford,ranger
2001,Nissan,Maxima SE ,            automatic,191000,3200,2001,Nissan,Maxima SE
1971,Volkswagen,  ,            manual,NA,3500,1971,Volkswagen,
2000,ford,explorer sport ,            automatic,NA,3500,2000,ford,explorer sport
2005,dodge,3500,            automatic,69000,30000,2005,dodge,3500
1989,Jeep,Cherokee  ,            automatic,NA,2500,1989,Jeep,Cherokee
2003,Jaguar,XKR  ,            automatic,116000,11000,2003,Jaguar,XKR
1998,toyota,avalon  ,            automatic,297000,700,1998,toyota,avalon
2016,Hyundai,Elantra  ,            automatic,38819,11991,2016,Hyundai,Elantra
2016,Nissan,Versa  ,            automatic,30152,11491,2016,Nissan,Versa
2014,Hyundai,Sonata  ,            automatic,53150,13493,2014,Hyundai,Sonata
1955,oldsmobile,delta 88 royale,            automatic,NA,9500,1955,oldsmobile,delta 88 royale
2006,Pontiac,G6  ,            automatic,150000,4000,2006,Pontiac,G6
1989,Ford,bronco 2 ,            manual,145000,4000,1989,Ford,bronco  2
2014,Lexus,GX 460 ,            automatic,NA,NA,2014,Lexus,GX 460
1999,ford,mustang gt ,            automatic,130201,3300,1999,ford,mustang gt
2008,dodge,ram 2500 cummins,            automatic,127305,24500,2008,dodge,ram 2500 cummins
2015,Hyundai,Veloster  ,NA,7757,NA,2015,Hyundai,Veloster
2013,ford,fusion se ,            automatic,NA,9500,2013,ford,fusion se
2013,Toyota,Tacoma  ,            automatic,NA,NA,2013,Toyota,Tacoma
1960,Jeep,CJ3  ,            manual,NA,10000,1960,Jeep,CJ3
2005,Any,  ,            automatic,NA,NA,2005,Any,
2006,2006,Monte Carlo ,            automatic,169482,3000,2006,2006,Monte Carlo
1993,Jeep,Wrangler  ,            manual,NA,4800,1993,Jeep,Wrangler
1993,Jeep,Wrangler  ,            manual,NA,4800,1993,Jeep,Wrangler
1987,ford,thunderbird turbo coupe,            automatic,NA,800,1987,ford,thunderbird turbo coupe
1997,Acura,cl  ,            manual,176,1400,1997,Acura,cl
1991,uhxa,  ,            automatic,67339,2549,1991,uhxa,
2002,Isuzu,Rodeo  ,            automatic,NA,700,2002,Isuzu,Rodeo
1998,volkswagen,jetta glx ,            manual,NA,600,1998,volkswagen,jetta glx
1996,Mack,CH613  ,            other,NA,24989,1996,Mack,CH613
2014,Nissan,Altima  ,            automatic,59422,13999,2014,Nissan,Altima
1974,VW,Bug  ,            manual,NA,5000,1974,VW,Bug
2010,HONDA,INSIGHT  ,            automatic,108950,6450,2010,HONDA,INSIGHT
2010,Honda,Insight  ,            automatic,108950,6450,2010,Honda,Insight
2013,HONDA,FIT SPORT ,            automatic,21448,9999,2013,HONDA,FIT SPORT
2000,toyota,tacoma prerunner ,            automatic,217875,4600,2000,toyota,tacoma prerunner
1996,ford,f-150  ,            automatic,145000,4000,1996,ford,f-150
1987,nissan,pathfinder  ,            automatic,NA,1300,1987,nissan,pathfinder
2014,dodge,ram 1500 ,            automatic,NA,26000,2014,dodge,ram 1500
2015,dodge,journey  ,            automatic,27921,NA,2015,dodge,journey
2012,Honda,Accord  ,            manual,72132,11988,2012,Honda,Accord
1997,Ord,e 350 ,            automatic,NA,3000,1997,Ord,e 350
2014,toyota,tundra  ,            automatic,39500,NA,2014,toyota,tundra
2014,toyota,tundra 4wd truck,            automatic,83650,NA,2014,toyota,tundra 4wd truck
2005,ford,econoline  ,            automatic,17000,12000,2005,ford,econoline
2015,nissan,pathfinder  ,            automatic,40069,NA,2015,nissan,pathfinder
2013,ford,explorer  ,            automatic,80614,NA,2013,ford,explorer
2005,kawasaki,  ,            manual,NA,3500,2005,kawasaki,
2011,dodge,journey  ,            automatic,53108,NA,2011,dodge,journey
2000,IMCA,Modified  ,            manual,NA,9500,2000,IMCA,Modified
1978,camaro,race car ,            manual,NA,2000,1978,camaro,race car
1984,mustang,  ,            automatic,NA,6500,1984,mustang,
2015,nissan,altima 2.5 ,            automatic,48533,NA,2015,nissan,altima 2.5
2012,chrysler,300c  ,            automatic,35814,NA,2012,chrysler,300c
2013,dodge,durango sxt ,            automatic,89853,NA,2013,dodge,durango sxt
2016,toyota,corolla  ,            automatic,23869,NA,2016,toyota,corolla
2011,toyota,tundra grade 5.7l,            automatic,74073,NA,2011,toyota,tundra grade 5.7l v8
2000,323ci,  ,            manual,179000,1900,2000,323ci,
1997,Kia,sport  ,            manual,NA,400,1997,Kia,sport
1950,1950,"Mercuy Club Coupe,",            manual,NA,NA,1950,1950,"Mercuy Club Coupe,"
2013,Kenworth,T660  ,            other,NA,NA,2013,Kenworth,T660
2008,freightliner,cascadia 125 ,            other,NA,NA,2008,freightliner,cascadia 125
1989,Chevy,R3500  ,            automatic,89465,4800,1989,Chevy,R3500
2007,bmw,z4 3.0i ,            manual,34000,14000,2007,bmw,z4 3.0i
2001,BUICK,REGAL  ,            automatic,106000,NA,2001,BUICK,REGAL
1991,chevy,silverado  ,            manual,130000,9800,1991,chevy,silverado
2012,Ford,Focus  ,            automatic,61644,9598,2012,Ford,Focus
1989,gmc,1500 suburban ,            manual,NA,NA,1989,gmc,1500 suburban
1995,95,s10 blazer 4x4,            automatic,179000,1800,1995,95,s10 blazer 4x4
2012,Nissan,Frontier  ,NA,NA,NA,2012,Nissan,Frontier
2010,Dodge,Ram 2500 ,NA,NA,NA,2010,Dodge,Ram 2500
1995,Toyota,Previa Alltrac ,            automatic,NA,650,1995,Toyota,Previa Alltrac
2017,Subaru,WRX  ,            automatic,10500,NA,2017,Subaru,WRX
2013,INFINITI,G37 Sedan ,NA,NA,NA,2013,INFINITI,G37 Sedan
2016,Chevrolet,Suburban  ,NA,4311,NA,2016,Chevrolet,Suburban
2016,Jeep,Grand Cherokee ,            automatic,25816,NA,2016,Jeep,Grand Cherokee
1994,Jeep,Wrangler  ,            automatic,99307,8500,1994,Jeep,Wrangler
1993,Honda,Accord  ,            automatic,NA,600,1993,Honda,Accord
2000,pontiac,firebird  ,            manual,163000,6000,2000,pontiac,firebird
2006,2006,bmw 325i ,            other,125000,6800,2006,2006,bmw 325i
2002,Ford,XLT  ,            automatic,NA,2700,2002,Ford,XLT
2000,dodge,ram 2500 laramie,            automatic,282633,10000,2000,dodge,ram 2500 laramie
1995,Toyota,4runner  ,            automatic,NA,4500,1995,Toyota,4runner
1997,pontiac,sunfire  ,            manual,NA,1100,1997,pontiac,sunfire
1973,Chevy,Sedan Delivery ,            manual,NA,50000,1973,Chevy,Sedan Delivery
1998,ford,explorer  ,            automatic,188819,850,1998,ford,explorer
2005,Chevy,tahoe  ,            automatic,130000,6000,2005,Chevy,tahoe
2016,Toyota,Tacoma  ,            automatic,7170,NA,2016,Toyota,Tacoma
2013,Nissan,Sentra  ,            manual,42160,10000,2013,Nissan,Sentra
2002,dodge,ram  ,            automatic,231590,3800,2002,dodge,ram
1994,ford,f-150  ,            automatic,200000,1800,1994,ford,f-150
1994,ford,f-150  ,            automatic,200000,1800,1994,ford,f-150
1998,toyota,avalon  ,            manual,297000,NA,1998,toyota,avalon
2015,toyota,corolla le 4dr,            automatic,7500,18500,2015,toyota,corolla le 4dr sedan
2010,Ford,Escape  ,            automatic,124000,6999,2010,Ford,Escape
1999,toyota,camry le ,            automatic,NA,2400,1999,toyota,camry le
2005,Benz,  ,            automatic,NA,NA,2005,Benz,
2004,chevrolet,impala  ,            automatic,NA,300,2004,chevrolet,impala
1998,mercedes,ml 320 ,            automatic,189000,2800,1998,mercedes,ml 320
1997,honda,civic  ,            automatic,NA,2000,1997,honda,civic
2012,Toyota,Highlander  ,            automatic,113523,19993,2012,Toyota,Highlander
2014,Hyundai,Sonata  ,            automatic,53150,13493,2014,Hyundai,Sonata
1999,ford,explorer sport ,            automatic,150000,1250,1999,ford,explorer sport
1999,ford,f-250  ,            automatic,156600,12995,1999,ford,f-250
2001,toyota,camry solara convertible,            automatic,238000,3250,2001,toyota,camry solara convertible
2015,2015,FIAT Sport Hatchback,            manual,14234,10000,2015,2015,FIAT Sport Hatchback
1991,Subaru,Loyale  ,            manual,241000,3000,1991,Subaru,Loyale
2003,chevrolet,silverado 3500 ,            automatic,177000,15000,2003,chevrolet,silverado 3500
2006,bmw,7-series 4dr sdn,            automatic,127000,8500,2006,bmw,7-series 4dr sdn 750li
2004,chevrolet,2500 silverado ,            automatic,NA,600,2004,chevrolet,2500 silverado
2012,peterbilt,587,            other,NA,NA,2012,peterbilt,587
2004,GMC,SAFARI VAN ,            automatic,143000,4900,2004,GMC,SAFARI VAN
1999,GMC,Sonoma  ,            manual,NA,3499,1999,GMC,Sonoma
1960,Fiat,600,            manual,NA,20000,1960,Fiat,600
2015,Mazda,Mazda6  ,            automatic,29585,17500,2015,Mazda,Mazda6
2010,camry,hybrid xle ,            automatic,82000,NA,2010,camry,hybrid xle
2012,Kenworth,T700  ,            other,NA,NA,2012,Kenworth,T700
2012,civic,sedan honda ,            automatic,95000,8000,2012,civic,sedan honda
1973,HOME,MADE  ,            other,NA,600,1973,HOME,MADE
2009,Acura,MDX  ,NA,NA,NA,2009,Acura,MDX
2016,Toyota,Tacoma  ,NA,11647,NA,2016,Toyota,Tacoma
1979,Dodge,truck ramcharger ,            automatic,117000,5,1979,Dodge,truck ramcharger
2016,Ford,F-150  ,            automatic,24319,NA,2016,Ford,F-150
1999,Ford,F-250 Super Duty,            automatic,239000,12000,1999,Ford,F-250 Super Duty
2008,HUMMER,H3  ,NA,NA,NA,2008,HUMMER,H3
2016,Jeep,Grand Cherokee ,            automatic,25816,NA,2016,Jeep,Grand Cherokee
1992,Toyota,Celica Convertable ,            manual,124382,4995,1992,Toyota,Celica Convertable
1995,Toyota,4runner  ,            automatic,6200,3800,1995,Toyota,4runner
1996,Dodge,Dually  ,            automatic,153000,6000,1996,Dodge,Dually
2016,Hyundai,Tucson  ,            automatic,11000,NA,2016,Hyundai,Tucson
1988,suzuki,samurai  ,            manual,134000,4500,1988,suzuki,samurai
1987,Toyota,4x4  ,            manual,NA,3500,1987,Toyota,4x4
2013,Scion,frs  ,            manual,NA,16900,2013,Scion,frs
2005,mercedes-benz,c230 kompressor ,            automatic,76000,5500,2005,mercedes-benz,c230 kompressor
1998,mitsubishi,montero  ,            automatic,159179,3800,1998,mitsubishi,montero
2005,Ford,Focus  ,            manual,150000,1900,2005,Ford,Focus
1998,volkswagen,jetta  ,            manual,NA,500,1998,volkswagen,jetta
2008,dodge,ram 3500 4x4,            automatic,241000,14900,2008,dodge,ram 3500 4x4 6.7l cummins
2014,toyota,prius c ,            automatic,36750,13000,2014,toyota,prius c
1995,chevy,suburban  ,            automatic,NA,3200,1995,chevy,suburban
1998,ford,windstar  ,            automatic,196000,750,1998,ford,windstar
2003,GMC,Sierra 3500 ,NA,NA,NA,2003,GMC,Sierra 3500
1994,chevrolet,corvette  ,            automatic,93977,8500,1994,chevrolet,corvette
2006,F-350,  ,            automatic,112000,21500,2006,F-350,
2015,Mitsubishi,Mirage  ,            automatic,23723,NA,2015,Mitsubishi,Mirage
1978,Jeep,CJ7  ,            manual,80000,10599,1978,Jeep,CJ7
2011,Ford,Super Duty F-350,NA,NA,NA,2011,Ford,Super Duty F-350 DRW
2007,volkswagen,passat  ,            automatic,99250,4800,2007,volkswagen,passat
1989,ford,f150  ,            automatic,78200,3000,1989,ford,f150
2004,volkswagen,beetle  ,            automatic,101054,5000,2004,volkswagen,beetle
2011,volvo,s40 2.4i 4dr,            automatic,89000,8900,2011,volvo,s40 2.4i 4dr sedan
2001,honda,accord ex ,            automatic,148000,3000,2001,honda,accord ex
1971,Chevy,  ,            manual,NA,3450,1971,Chevy,
2002,focus,ford  ,            automatic,148000,2200,2002,focus,ford
2000,saab,42981 turbo ,            other,159000,1250,2000,saab,9-3 turbo
1974,chevy,  ,            other,NA,700,1974,chevy,
2013,Dodge,Journey  ,            automatic,46350,10500,2013,Dodge,Journey
2007,dodge,charger  ,            automatic,208000,4000,2007,dodge,charger
2016,Mazda,MAZDA3  ,            automatic,9120,18991,2016,Mazda,MAZDA3
2009,Buick,Enclave  ,            automatic,100269,14991,2009,Buick,Enclave
2016,Kia,Optima  ,            automatic,15978,16991,2016,Kia,Optima
2016,Chrysler,Town &amp; Country,            automatic,34733,20493,2016,Chrysler,Town &amp; Country
1983,chevy,k10  ,            automatic,NA,7500,1983,chevy,k10
1987,Suzuki,  ,            manual,88769,5000,1987,Suzuki,
1992,Acura,integra  ,            other,NA,41,1992,Acura,integra
1995,Toyota,  ,            manual,200000,2500,1995,Toyota,
2004,chevy,silverado  ,            automatic,150000,20000,2004,chevy,silverado
2005,toyota,  ,            automatic,NA,NA,2005,toyota,
1981,280ZX,  ,            automatic,107000,6850,1981,280ZX,
2015,Stehl,  ,            other,NA,1000,2015,Stehl,
2012,Acura,TSX  ,            automatic,55919,17500,2012,Acura,TSX
2015,Dodge,Challenger  ,NA,10799,NA,2015,Dodge,Challenger
2013,Toyota,Tacoma  ,            automatic,NA,NA,2013,Toyota,Tacoma
2015,Dodge,Grand Caravan ,            automatic,NA,NA,2015,Dodge,Grand Caravan
2016,Toyota,Avalon Hybrid ,NA,23890,NA,2016,Toyota,Avalon Hybrid
1986,chevrolet,silverado  ,            automatic,156000,12500,1986,chevrolet,silverado
2001,volkswagen,beetle  ,            automatic,NA,3000,2001,volkswagen,beetle
1992,acura,legend ls ,            automatic,172000,2150,1992,acura,legend ls
2007,Shelby,GT-500  ,            manual,2535,33900,2007,Shelby,GT-500
1975,Toyota,FJ 40 ,            manual,NA,15500,1975,Toyota,FJ 40
1979,toyota,celica gt ,            manual,NA,800,1979,toyota,celica gt
2013,GMC,Yukon  ,NA,NA,NA,2013,GMC,Yukon
2014,Chevrolet,Silverado 2500HD ,NA,NA,NA,2014,Chevrolet,Silverado 2500HD
2014,Lexus,GX 460 ,NA,NA,NA,2014,Lexus,GX 460
1986,Ford,en van ,            automatic,100000,2000,1986,Ford,en van
2002,Dodge,Neon  ,            manual,NA,1200,2002,Dodge,Neon
2003,Dodge,Dakota  ,            automatic,207790,3500,2003,Dodge,Dakota
2006,dodge,ram pickup 2500,            automatic,69665,NA,2006,dodge,ram pickup 2500
2010,chevrolet,traverse lt1 ,            automatic,118298,NA,2010,chevrolet,traverse lt1
2016,mazda,3,            automatic,5467,NA,2016,mazda,3
2005,ford,f250 super duty,            automatic,220000,12500,2005,ford,f250 super duty
2005,jeep,wrangler 4x4 sport,            automatic,125552,NA,2005,jeep,wrangler 4x4 sport
1966,Ford,Mustang Fastback ,            automatic,NA,29500,1966,Ford,Mustang Fastback
2001,Nissan,Sentra GXE ,            automatic,153000,2800,2001,Nissan,Sentra GXE
1987,Mercedes,560SL  ,            automatic,214000,19950,1987,Mercedes,560SL
1970,buick,lesabre  ,            automatic,NA,500,1970,buick,lesabre
2004,audi,a6 quattro ,            automatic,147000,4500,2004,audi,a6 quattro
2013,Ford,F-150  ,            automatic,25192,24990,2013,Ford,F-150
2015,Chrysler,200,            automatic,44026,13898,2015,Chrysler,200
2015,Mazda,Mazda3  ,            automatic,44350,13488,2015,Mazda,Mazda3
2007,GMC,Sierra 1500 ,            automatic,150959,14898,2007,GMC,Sierra 1500
2000,mitsubishi,eclipse gs ,            manual,NA,NA,2000,mitsubishi,eclipse gs
1989,jeep,cherokee  ,            automatic,NA,NA,1989,jeep,cherokee
2003,hyundai,santa fe ,            automatic,194777,2995,2003,hyundai,santa fe
2006,buick,lucerne  ,            automatic,177000,5400,2006,buick,lucerne
2000,Toyota,Tundra  ,            automatic,213317,NA,2000,Toyota,Tundra
1999,Honda,Civic  ,            automatic,178548,NA,1999,Honda,Civic
2003,Dodge,Ram 1500 ,            automatic,155171,NA,2003,Dodge,Ram 1500
2005,GMC,Sierra 2500HD ,            automatic,164972,15995,2005,GMC,Sierra 2500HD
2000,Nissan,Frontier 4WD ,            automatic,191398,3495,2000,Nissan,Frontier 4WD
2007,ford,f150 fx4 ,            automatic,194000,8500,2007,ford,f150 fx4
2015,GMC,Acadia  ,NA,NA,NA,2015,GMC,Acadia
1977,gmc,vandura 2500 ,            automatic,117000,3000,1977,gmc,vandura 2500
1997,Chevy,  ,            automatic,220000,4500,1997,Chevy,
2000,Laramie,SLT 2500 ,            automatic,56000,20500,2000,Laramie,SLT 2500
2012,Jeep,Patriot  ,            automatic,57856,10000,2012,Jeep,Patriot
2012,Kia,Sedona  ,NA,8900,NA,2012,Kia,Sedona
2015,Ford,Expedition  ,NA,20070,NA,2015,Ford,Expedition
1967,plymouth,belvedere  ,            manual,500,38000,1967,plymouth,belvedere
2015,Toyota,Camry Hybrid ,            automatic,NA,NA,2015,Toyota,Camry Hybrid
2015,Dodge,Durango  ,NA,28006,NA,2015,Dodge,Durango
2017,Subaru,WRX  ,            automatic,10500,NA,2017,Subaru,WRX
